t;w;x;y;z;ax;ay;az
10432;0.00;0.04;-1.00;0.00;52;-56;-8687
10450;0.00;0.04;-1.00;0.00;55;-55;-8686
10468;0.00;0.04;-1.00;0.00;58;-56;-8687
10488;0.00;0.04;-1.00;0.00;62;-54;-8686
10505;0.00;0.04;-1.00;0.00;61;-57;-8682
10522;0.00;0.04;-1.00;0.00;62;-51;-8686
10539;0.00;0.04;-1.00;0.00;63;-52;-8688
10557;0.00;0.04;-1.00;0.00;60;-52;-8685
10574;0.00;0.04;-1.00;0.00;66;-50;-8684
10592;0.00;0.04;-1.00;0.00;60;-57;-8684
10608;0.00;0.04;-1.00;0.00;59;-59;-8685
10626;0.00;0.04;-1.00;0.00;60;-60;-8692
10643;0.00;0.04;-1.00;0.00;55;-58;-8695
10660;0.00;0.04;-1.00;0.00;51;-56;-8698
10678;0.00;0.04;-1.00;0.00;46;-55;-8697
10699;0.00;0.04;-1.00;0.00;51;-53;-8701
10715;0.00;0.04;-1.00;0.00;54;-56;-8696
10732;0.00;0.04;-1.00;0.00;54;-58;-8692
10750;0.00;0.04;-1.00;0.00;52;-57;-8688
10768;0.00;0.04;-1.00;0.00;52;-60;-8692
10784;0.00;0.04;-1.00;0.00;55;-57;-8696
10802;0.00;0.04;-1.00;0.00;55;-55;-8695
10820;0.00;0.00;0.88;-0.89;-23360;23296;-6401
10842;0.00;0.04;-1.00;0.00;55;-54;-8690
10857;0.00;0.04;-1.00;0.00;55;-54;-8692
10874;0.00;0.04;-1.00;0.00;51;-58;-8696
10893;0.00;0.04;-1.00;0.00;50;-56;-8697
10910;0.00;0.04;-1.00;0.00;52;-58;-8700
10929;0.00;0.04;-1.00;0.00;54;-62;-8698
10948;0.00;0.04;-1.00;0.00;56;-56;-8693
10966;0.00;0.04;-1.00;0.00;58;-54;-8686
10982;0.00;0.04;-1.00;0.00;58;-51;-8683
10998;0.00;0.04;-1.00;0.00;58;-50;-8689
11017;0.00;0.04;-1.00;0.00;56;-50;-8690
11035;0.00;0.04;-1.00;0.00;61;-49;-8689
11050;0.00;0.04;-1.00;0.00;65;-52;-8688
11067;0.00;0.04;-1.00;0.00;67;-50;-8692
11085;0.00;0.04;-1.00;0.00;61;-53;-8693
11104;0.00;0.04;-1.00;0.00;58;-53;-8691
11120;0.00;0.04;-1.00;0.00;58;-56;-8690
11139;0.00;0.04;-1.00;0.00;59;-50;-8690
11158;0.00;0.04;-1.00;0.00;61;-50;-8692
11175;0.00;0.04;-1.00;0.00;55;-48;-8694
11192;0.00;0.04;-1.00;0.00;55;-50;-8697
11209;0.00;0.04;-1.00;0.00;51;-52;-8701
11228;0.00;0.04;-1.00;0.00;49;-55;-8699
11244;0.00;0.04;-1.00;0.00;51;-53;-8701
11260;0.00;0.04;-1.00;0.00;50;-51;-8693
11278;0.00;0.04;-1.00;0.00;44;-54;-8696
11296;0.00;0.04;-1.00;0.00;50;-58;-8696
11314;0.00;0.04;-1.00;0.00;52;-57;-8697
11329;0.00;0.04;-1.00;0.00;55;-55;-8693
11346;0.00;0.04;-1.00;0.00;60;-53;-8691
11368;0.00;0.04;-1.00;0.00;62;-53;-8691
11385;0.00;0.04;-1.00;0.00;66;-52;-8689
11410;0.00;0.04;-1.00;0.00;52;-47;-8693
11427;0.00;0.04;-1.00;0.00;52;-51;-8686
11447;0.00;0.04;-1.00;0.00;54;-54;-8684
11464;0.00;0.04;-1.00;0.00;55;-53;-8688
12530;0.00;0.04;-1.00;0.00;58;-60;-8706
12545;0.00;0.04;-1.00;0.00;59;-56;-8694
12564;0.00;0.04;-1.00;0.00;58;-52;-8694
12580;0.00;0.04;-1.00;0.00;59;-54;-8697
12598;0.00;0.04;-1.00;0.00;60;-56;-8708
12615;0.00;0.04;-1.00;0.00;62;-56;-8711
12636;0.00;0.04;-1.00;0.00;60;-57;-8702
12654;0.00;0.04;-1.00;0.00;58;-55;-8705
12672;0.00;0.04;-1.00;0.00;59;-50;-8704
12690;0.00;0.04;-1.00;0.00;63;-51;-8701
12711;0.00;0.04;-1.00;0.00;61;-49;-8697
12729;0.00;0.04;-1.00;0.00;58;-51;-8697
12746;0.00;0.04;-1.00;0.00;53;-51;-8695
12762;0.00;0.04;-1.00;0.00;52;-48;-8700
